index,Nama Desa,Suspek Aktif Dirawat,Konfirmasi Total,Konfirmasi Dirawat,Konfirmasi Sembuh,Konfirmasi Meninggal
0,Jurumudi,6,520,7,509,4
1,Pajang,2,146,1,145,0
2,Belendung,10,469,6,457,6
3,Jurumudi Baru,7,776,17,754,5
4,Benda,1,268,9,258,1
0,Gebang Raya,15,2961,37,2892,32
1,Periuk Jaya,4,509,5,496,8
2,Sangiang Jaya,17,1182,29,1146,7
3,Periuk,11,1080,14,1059,7
4,Gembor,9,1194,8,1168,18
0,Jatiuwung,6,289,4,275,10
1,Cibodas,35,1081,18,1055,8
2,Panunggangan Barat,5,1495,33,1454,8
3,Uwung Jaya,18,1170,22,1138,10
4,Cibodas Baru,17,1535,32,1494,9
5,Cibodasari,40,2370,36,2312,22
0,Keroncong,15,529,2,520,7
1,Manis Jaya,6,385,1,379,5
2,Alam Jaya,5,371,7,350,14
3,Gandasari,8,697,8,682,7
4,Pasir Jaya,5,220,1,214,5
5,Jatake,4,401,6,394,1
0,Batuceper,2,834,20,811,3
1,Batusari,6,306,4,298,4
2,Poris Gaga Baru,1,287,4,281,2
3,Kebon Besar,4,225,3,222,0
4,Poris Gaga,9,764,14,745,5
5,Batujaya,3,202,2,195,5
6,Poris Jaya,2,402,12,390,0
0,Karang Timur,7,795,20,767,8
1,Karang Mulya,10,850,27,820,3
2,Karang Tengah,18,1498,21,1469,8
3,Pedurenan,17,1149,21,1122,6
4,Parung Jaya,5,287,9,275,3
5,Pondok Pucung,9,800,26,772,2
6,Pondok Bahar,8,1009,17,986,6
0,Selapajang Jaya,5,433,7,425,1
1,Kedaung Baru,2,159,3,156,0
2,Neglasari,9,503,9,489,5
3,Karang Sari,8,853,15,826,12
4,Mekarsari,6,475,6,466,3
5,Kedaung Wetan,3,492,6,486,0
6,Karang Anyar,7,515,6,505,4
0,Sudimara Selatan,5,624,8,613,3
1,Sudimara Timur,3,683,18,659,6
2,Parung Serab,13,842,16,822,4
3,Paninggilan Utara,7,829,6,817,6
4,Tajur,8,1188,14,1164,10
5,Paninggilan,7,894,12,879,3
6,Sudimara Jaya,9,969,8,954,7
7,Sudimara Barat,10,961,13,943,5
0,Gaga,11,1181,30,1138,13
1,Larangan Selatan,7,1090,29,1057,4
2,Cipadu Jaya,3,1032,20,1010,2
3,Larangan Indah,9,971,25,943,3
4,Kreo,3,892,11,879,2
5,Cipadu,3,906,15,886,5
6,Kreo Selatan,5,800,9,790,1
7,Larangan Utara,11,1153,21,1125,7
0,Kelapa Indah,10,1038,46,989,3
1,Cikokol,38,1524,22,1497,5
2,Sukaasih,6,286,4,279,3
3,Buaran Indah,31,851,16,826,9
4,Sukarasa,1,461,11,447,3
5,Tanah Tinggi,20,1568,30,1528,10
6,Babakan,14,702,17,680,5
7,Sukasari,10,1574,33,1518,23
0,Poris Plawad Utara,12,919,22,890,7
1,Poris Plawad Indah,16,1889,51,1832,6
2,Ketapang,6,504,10,491,3
3,Cipondoh Indah,19,1802,36,1754,12
4,Gondrong,10,593,5,583,5
5,Cipondoh,14,1182,11,1166,5
6,Petir,14,903,20,883,0
7,Kenanga,3,496,7,486,3
8,Poris Plawad,17,869,14,853,2
9,Cipondoh Makmur,16,1461,18,1430,13
0,Pakojan,7,159,2,155,2
1,Kunciran,4,998,20,974,4
2,Nerogtog,7,715,10,701,4
3,Kunciran Indah,36,1627,21,1598,8
4,Panunggangan Timur,1,43,2,40,1
5,Sudimara Pinang,13,813,14,795,4
6,Panunggangan,11,383,4,375,4
7,Panunggangan Utara,30,1165,18,1143,4
8,Kunciran Jaya,0,207,2,201,4
9,Pinang,13,1398,19,1372,7
10,Cipete,14,1021,21,998,2
0,Pabuaran Tumpeng,5,712,11,694,7
1,Bugel,3,732,13,713,6
2,Karawaci Baru,27,980,18,954,8
3,Cimone Jaya,21,669,17,642,10
4,Pabuaran,5,537,14,518,5
5,Koang Jaya,1,303,6,293,4
6,Cimone,16,997,34,953,10
7,Sukajadi,1,540,13,520,7
8,Margasari,7,538,7,522,9
9,Nambo Jaya,1,396,9,381,6
10,Pasar Baru,3,274,6,267,1
11,Gerendeng,4,600,4,592,4
12,Bojong Jaya,2,324,5,315,4
13,Nusa Jaya,3,796,23,770,3
14,Sumur Pacing,1,248,1,247,0
15,Karawaci,5,242,7,234,1
0,Luar Kota/ WNA,0,6064,742,5321,1
